#######################x########
#...   ...........#............#
#......              ....#.....#
#......####...  ##.............#
#...........    ...##....     .#
#..  ...#..... ..##...     ....#
#........    .     .#..........#
#....##..............#.........#
x......     ####.......##......#
#.....#.......#....         ...#
#.......#.....#.........#...##.#
#.......    ..###.......#......#
#..###..    ....#.......#......x
#....#... ......#.......#......#
#....#... ......###   ###......#
#........ .....      ....###  ##
# # # # # ...............#.....#
#........#......###......#.....#
#...    .........  ......#.....#
#...........#   ###   .........#
#....#...........#..###..#.  ..#
#.....................#..#.. ..#
#........#......#.....#..#.. ..#
#...      #######   ..####.. ..#
#....#.........................#
#....###   .....###      ##....#
#....#...   ....#... .....#....#
#...............#...  . ..#....#
#...      .....#.... .....#....#
#..........#.#.#.#.. .   .#....#
#.........##.....#..#..........#
################################
